last-path-return_agent_1,total-samples,mean-episode_cost_agent_0,mean-path-return_agent_1,episodes,max-path-return_agent_1,last-path-return_agent_0,mean-episode_cost_agent_1,max-path-return_agent_0,episode_reward,mean-path-return_agent_0
50.0,68,0.0,25.0,24,50.0,10.0,0.0,50.0,24,5.0
-5.0,71,16.666666666666668,-1.6666666666666667,25,50.0,-5.0,16.666666666666668,50.0,25,-1.6666666666666667
10.0,74,0.0,3.3333333333333335,26,50.0,50.0,0.0,50.0,26,16.666666666666668
10.0,77,0.0,3.3333333333333335,27,50.0,50.0,0.0,50.0,27,16.666666666666668
10.0,79,0.0,5.0,28,50.0,50.0,0.0,50.0,28,25.0
10.0,82,0.0,3.3333333333333335,29,50.0,50.0,6.666666666666667,50.0,29,16.666666666666668
-5.0,85,20.0,-1.6666666666666667,30,50.0,-5.0,20.0,50.0,30,-1.6666666666666667
-10.0,87,25.0,-5.0,31,50.0,-10.0,25.0,50.0,31,-5.0
-5.0,90,20.0,-1.6666666666666667,32,50.0,-5.0,20.0,50.0,32,-1.6666666666666667
10.0,93,0.0,3.3333333333333335,33,50.0,50.0,0.0,50.0,33,16.666666666666668
50.0,96,0.0,16.666666666666668,34,50.0,10.0,0.0,50.0,34,3.3333333333333335
50.0,99,6.666666666666667,16.666666666666668,35,50.0,10.0,0.0,50.0,35,3.3333333333333335
-5.0,102,16.666666666666668,-1.6666666666666667,36,50.0,-5.0,16.666666666666668,50.0,36,-1.6666666666666667
10.0,105,0.0,3.3333333333333335,37,50.0,50.0,0.0,50.0,37,16.666666666666668
10.0,108,0.0,3.3333333333333335,38,50.0,50.0,3.3333333333333335,50.0,38,16.666666666666668
-5.0,111,16.666666666666668,-1.6666666666666667,39,50.0,-5.0,16.666666666666668,50.0,39,-1.6666666666666667
10.0,114,0.0,3.3333333333333335,40,50.0,50.0,0.0,50.0,40,16.666666666666668
-5.0,117,16.666666666666668,-1.6666666666666667,41,50.0,-5.0,16.666666666666668,50.0,41,-1.6666666666666667
10.0,120,0.0,3.3333333333333335,42,50.0,50.0,0.0,50.0,42,16.666666666666668
50.0,123,0.0,16.666666666666668,43,50.0,10.0,0.0,50.0,43,3.3333333333333335
10.0,126,0.0,3.3333333333333335,44,50.0,50.0,0.0,50.0,44,16.666666666666668
-10.0,128,25.0,-5.0,45,50.0,-10.0,25.0,50.0,45,-5.0
10.0,131,0.0,3.3333333333333335,46,50.0,50.0,0.0,50.0,46,16.666666666666668
10.0,134,0.0,3.3333333333333335,47,50.0,50.0,0.0,50.0,47,16.666666666666668
50.0,137,0.0,16.666666666666668,48,50.0,10.0,0.0,50.0,48,3.3333333333333335
-10.0,139,25.0,-5.0,49,50.0,-10.0,25.0,50.0,49,-5.0
50.0,142,0.0,16.666666666666668,50,50.0,10.0,0.0,50.0,50,3.3333333333333335
50.0,145,0.0,16.666666666666668,51,50.0,10.0,0.0,50.0,51,3.3333333333333335
10.0,147,0.0,5.0,52,50.0,50.0,0.0,50.0,52,25.0
10.0,150,0.0,3.3333333333333335,53,50.0,50.0,0.0,50.0,53,16.666666666666668
10.0,153,0.0,3.3333333333333335,54,50.0,50.0,0.0,50.0,54,16.666666666666668
10.0,156,0.0,3.3333333333333335,55,50.0,50.0,0.0,50.0,55,16.666666666666668
50.0,159,0.0,16.666666666666668,56,50.0,10.0,0.0,50.0,56,3.3333333333333335
10.0,162,0.0,3.3333333333333335,57,50.0,50.0,0.0,50.0,57,16.666666666666668
50.0,164,0.0,25.0,58,50.0,10.0,0.0,50.0,58,5.0
-5.0,167,16.666666666666668,-1.6666666666666667,59,50.0,-5.0,16.666666666666668,50.0,59,-1.6666666666666667
50.0,171,7.5,12.5,60,50.0,10.0,5.0,50.0,60,2.5
10.0,174,0.0,3.3333333333333335,61,50.0,50.0,6.666666666666667,50.0,61,16.666666666666668
10.0,177,0.0,3.3333333333333335,62,50.0,50.0,0.0,50.0,62,16.666666666666668
-5.0,179,25.0,-2.5,63,50.0,-5.0,25.0,50.0,63,-2.5
10.0,182,0.0,3.3333333333333335,64,50.0,50.0,6.666666666666667,50.0,64,16.666666666666668
