mean-episode_cost_agent_1,max-path-return_agent_0,mean-episode_cost_agent_0,max-path-return_agent_1,mean-path-return_agent_1,total-samples,episodes,last-path-return_agent_0,last-path-return_agent_1,episode_reward,mean-path-return_agent_0
0.0,50.0,0.0,50.0,16.666666666666668,466,164,10.0,50.0,164,3.3333333333333335
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,469,165,-5.0,-5.0,165,-1.6666666666666667
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,472,166,-5.0,-5.0,166,-1.6666666666666667
3.3333333333333335,50.0,0.0,50.0,16.666666666666668,475,167,10.0,50.0,167,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,478,168,50.0,10.0,168,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,481,169,-5.0,-5.0,169,-1.6666666666666667
0.0,50.0,0.0,50.0,16.666666666666668,484,170,10.0,50.0,170,3.3333333333333335
0.0,50.0,6.666666666666667,50.0,16.666666666666668,487,171,10.0,50.0,171,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,490,172,50.0,10.0,172,16.666666666666668
0.0,50.0,0.0,50.0,16.666666666666668,493,173,10.0,50.0,173,3.3333333333333335
0.0,50.0,0.0,50.0,3.3333333333333335,496,174,50.0,10.0,174,16.666666666666668
16.666666666666668,50.0,16.666666666666668,50.0,-1.6666666666666667,499,175,-5.0,-5.0,175,-1.6666666666666667
0.0,50.0,0.0,50.0,25.0,501,176,10.0,50.0,176,5.0
0.0,50.0,0.0,50.0,16.666666666666668,504,177,10.0,50.0,177,3.3333333333333335
