episodes,max-path-return_agent_1,last-path-return_agent_0,last-path-return_agent_1,episode_reward,max-path-return_agent_0,mean-path-return_agent_0,total-samples,mean-path-return_agent_1
65,50.0,-5.0,-5.0,65,50.0,-1.6666666666666667,180,-1.6666666666666667
66,50.0,-5.0,-5.0,66,50.0,-1.6666666666666667,183,-1.6666666666666667
67,50.0,50.0,10.0,67,50.0,16.666666666666668,186,3.3333333333333335
68,50.0,10.0,50.0,68,50.0,3.3333333333333335,189,16.666666666666668
69,50.0,50.0,10.0,69,50.0,16.666666666666668,192,3.3333333333333335
70,50.0,50.0,10.0,70,50.0,16.666666666666668,195,3.3333333333333335
71,50.0,50.0,10.0,71,50.0,16.666666666666668,198,3.3333333333333335
72,50.0,-5.0,-5.0,72,50.0,-1.6666666666666667,201,-1.6666666666666667
73,50.0,50.0,10.0,73,50.0,16.666666666666668,204,3.3333333333333335
74,50.0,-10.0,-10.0,74,50.0,-5.0,206,-5.0
75,50.0,10.0,50.0,75,50.0,3.3333333333333335,209,16.666666666666668
76,50.0,-5.0,-5.0,76,50.0,-2.5,211,-2.5
77,50.0,10.0,50.0,77,50.0,3.3333333333333335,214,16.666666666666668
78,50.0,50.0,10.0,78,50.0,16.666666666666668,217,3.3333333333333335
79,50.0,10.0,50.0,79,50.0,3.3333333333333335,220,16.666666666666668
80,50.0,-5.0,-5.0,80,50.0,-2.5,222,-2.5
81,50.0,10.0,50.0,81,50.0,3.3333333333333335,225,16.666666666666668
