max-path-return_agent_1,last-path-return_agent_1,max-path-return_agent_0,episodes,mean-path-return_agent_0,last-path-return_agent_0,mean-path-return_agent_1,total-samples,episode_reward
50.0,-10.0,50.0,39,-5.0,-10.0,-5.0,109,39
50.0,-5.0,50.0,40,-1.6666666666666667,-5.0,-1.6666666666666667,112,40
50.0,-5.0,50.0,41,-1.6666666666666667,-5.0,-1.6666666666666667,115,41
50.0,10.0,50.0,42,16.666666666666668,50.0,3.3333333333333335,118,42
50.0,10.0,50.0,43,16.666666666666668,50.0,3.3333333333333335,121,43
50.0,-5.0,50.0,44,-2.5,-5.0,-2.5,123,44
50.0,10.0,50.0,45,16.666666666666668,50.0,3.3333333333333335,126,45
50.0,50.0,50.0,46,3.3333333333333335,10.0,16.666666666666668,129,46
50.0,-5.0,50.0,47,-1.6666666666666667,-5.0,-1.6666666666666667,132,47
50.0,-10.0,50.0,48,-5.0,-10.0,-5.0,134,48
50.0,-5.0,50.0,49,-1.6666666666666667,-5.0,-1.6666666666666667,137,49
50.0,10.0,50.0,50,16.666666666666668,50.0,3.3333333333333335,140,50
50.0,10.0,50.0,51,16.666666666666668,50.0,3.3333333333333335,143,51
50.0,10.0,50.0,52,16.666666666666668,50.0,3.3333333333333335,146,52
50.0,10.0,50.0,53,16.666666666666668,50.0,3.3333333333333335,149,53
50.0,10.0,50.0,54,16.666666666666668,50.0,3.3333333333333335,152,54
50.0,-5.0,50.0,55,-2.5,-5.0,-2.5,154,55
50.0,-5.0,50.0,56,-1.6666666666666667,-5.0,-1.6666666666666667,157,56
50.0,10.0,50.0,57,16.666666666666668,50.0,3.3333333333333335,160,57
50.0,10.0,50.0,58,16.666666666666668,50.0,3.3333333333333335,163,58
50.0,10.0,50.0,59,16.666666666666668,50.0,3.3333333333333335,166,59
50.0,10.0,50.0,60,16.666666666666668,50.0,3.3333333333333335,169,60
50.0,10.0,50.0,61,16.666666666666668,50.0,3.3333333333333335,172,61
50.0,50.0,50.0,62,3.3333333333333335,10.0,16.666666666666668,175,62
50.0,-10.0,50.0,63,-5.0,-10.0,-5.0,177,63
50.0,10.0,50.0,64,16.666666666666668,50.0,3.3333333333333335,180,64
50.0,-5.0,50.0,65,-2.5,-5.0,-2.5,182,65
50.0,-5.0,50.0,66,-2.5,-5.0,-2.5,184,66
50.0,50.0,50.0,67,3.3333333333333335,10.0,16.666666666666668,187,67
50.0,-5.0,50.0,68,-1.6666666666666667,-5.0,-1.6666666666666667,190,68
50.0,10.0,50.0,69,16.666666666666668,50.0,3.3333333333333335,193,69
50.0,-10.0,50.0,70,-5.0,-10.0,-5.0,195,70
50.0,50.0,50.0,71,3.3333333333333335,10.0,16.666666666666668,198,71
50.0,50.0,50.0,72,3.3333333333333335,10.0,16.666666666666668,201,72
50.0,-5.0,50.0,73,-1.6666666666666667,-5.0,-1.6666666666666667,204,73
50.0,-5.0,50.0,74,-1.6666666666666667,-5.0,-1.6666666666666667,207,74
50.0,50.0,50.0,75,5.0,10.0,25.0,209,75
50.0,50.0,50.0,76,3.3333333333333335,10.0,16.666666666666668,212,76
50.0,-5.0,50.0,77,-2.5,-5.0,-2.5,214,77
50.0,50.0,50.0,78,3.3333333333333335,10.0,16.666666666666668,217,78
50.0,50.0,50.0,79,5.0,10.0,25.0,219,79
50.0,10.0,50.0,80,16.666666666666668,50.0,3.3333333333333335,222,80
50.0,50.0,50.0,81,3.3333333333333335,10.0,16.666666666666668,225,81
50.0,-5.0,50.0,82,-1.6666666666666667,-5.0,-1.6666666666666667,228,82
50.0,50.0,50.0,83,3.3333333333333335,10.0,16.666666666666668,231,83
50.0,50.0,50.0,84,5.0,10.0,25.0,233,84
50.0,-5.0,50.0,85,-1.6666666666666667,-5.0,-1.6666666666666667,236,85
50.0,10.0,50.0,86,16.666666666666668,50.0,3.3333333333333335,239,86
50.0,10.0,50.0,87,16.666666666666668,50.0,3.3333333333333335,242,87
50.0,50.0,50.0,88,3.3333333333333335,10.0,16.666666666666668,245,88
50.0,-5.0,50.0,89,-1.6666666666666667,-5.0,-1.6666666666666667,248,89
50.0,50.0,50.0,90,3.3333333333333335,10.0,16.666666666666668,251,90
50.0,50.0,50.0,91,5.0,10.0,25.0,253,91
50.0,-10.0,50.0,92,-5.0,-10.0,-5.0,255,92
50.0,10.0,50.0,93,16.666666666666668,50.0,3.3333333333333335,258,93
50.0,50.0,50.0,94,3.3333333333333335,10.0,16.666666666666668,261,94
50.0,50.0,50.0,95,3.3333333333333335,10.0,16.666666666666668,264,95
50.0,10.0,50.0,96,16.666666666666668,50.0,3.3333333333333335,267,96
50.0,10.0,50.0,97,16.666666666666668,50.0,3.3333333333333335,270,97
50.0,10.0,50.0,98,16.666666666666668,50.0,3.3333333333333335,273,98
50.0,10.0,50.0,99,16.666666666666668,50.0,3.3333333333333335,276,99
50.0,50.0,50.0,100,3.3333333333333335,10.0,16.666666666666668,279,100
50.0,-5.0,50.0,101,-1.6666666666666667,-5.0,-1.6666666666666667,282,101
50.0,50.0,50.0,102,3.3333333333333335,10.0,16.666666666666668,285,102
50.0,50.0,50.0,103,3.3333333333333335,10.0,16.666666666666668,288,103
50.0,-10.0,50.0,104,-5.0,-10.0,-5.0,290,104
50.0,-5.0,50.0,105,-1.6666666666666667,-5.0,-1.6666666666666667,293,105
50.0,50.0,50.0,106,3.3333333333333335,10.0,16.666666666666668,296,106
50.0,10.0,50.0,107,25.0,50.0,5.0,298,107
50.0,-5.0,50.0,108,-1.6666666666666667,-5.0,-1.6666666666666667,301,108
50.0,50.0,50.0,109,3.3333333333333335,10.0,16.666666666666668,304,109
50.0,10.0,50.0,110,16.666666666666668,50.0,3.3333333333333335,307,110
50.0,10.0,50.0,111,25.0,50.0,5.0,309,111
50.0,50.0,50.0,112,3.3333333333333335,10.0,16.666666666666668,312,112
50.0,10.0,50.0,113,16.666666666666668,50.0,3.3333333333333335,315,113
50.0,10.0,50.0,114,16.666666666666668,50.0,3.3333333333333335,318,114
50.0,10.0,50.0,115,16.666666666666668,50.0,3.3333333333333335,321,115
50.0,10.0,50.0,116,16.666666666666668,50.0,3.3333333333333335,324,116
50.0,10.0,50.0,117,16.666666666666668,50.0,3.3333333333333335,327,117
50.0,50.0,50.0,118,3.3333333333333335,10.0,16.666666666666668,330,118
50.0,50.0,50.0,119,3.3333333333333335,10.0,16.666666666666668,333,119
50.0,10.0,50.0,120,16.666666666666668,50.0,3.3333333333333335,336,120
50.0,50.0,50.0,121,3.3333333333333335,10.0,16.666666666666668,339,121
50.0,10.0,50.0,122,16.666666666666668,50.0,3.3333333333333335,342,122
50.0,50.0,50.0,123,3.3333333333333335,10.0,16.666666666666668,345,123
50.0,50.0,50.0,124,5.0,10.0,25.0,347,124
50.0,-5.0,50.0,125,-1.6666666666666667,-5.0,-1.6666666666666667,350,125
50.0,50.0,50.0,126,3.3333333333333335,10.0,16.666666666666668,353,126
50.0,-10.0,50.0,127,-5.0,-10.0,-5.0,355,127
50.0,10.0,50.0,128,16.666666666666668,50.0,3.3333333333333335,358,128
50.0,10.0,50.0,129,16.666666666666668,50.0,3.3333333333333335,361,129
50.0,10.0,50.0,130,25.0,50.0,5.0,363,130
50.0,50.0,50.0,131,3.3333333333333335,10.0,16.666666666666668,366,131
50.0,50.0,50.0,132,3.3333333333333335,10.0,16.666666666666668,369,132
50.0,10.0,50.0,133,25.0,50.0,5.0,371,133
50.0,50.0,50.0,134,3.3333333333333335,10.0,16.666666666666668,374,134
50.0,50.0,50.0,135,3.3333333333333335,10.0,16.666666666666668,377,135
50.0,-5.0,50.0,136,-1.6666666666666667,-5.0,-1.6666666666666667,380,136
50.0,10.0,50.0,137,16.666666666666668,50.0,3.3333333333333335,383,137
50.0,50.0,50.0,138,3.3333333333333335,10.0,16.666666666666668,386,138
50.0,10.0,50.0,139,12.5,50.0,2.5,390,139
50.0,10.0,50.0,140,16.666666666666668,50.0,3.3333333333333335,393,140
50.0,-5.0,50.0,141,-1.6666666666666667,-5.0,-1.6666666666666667,396,141
50.0,50.0,50.0,142,3.3333333333333335,10.0,16.666666666666668,399,142
50.0,50.0,50.0,143,3.3333333333333335,10.0,16.666666666666668,402,143
50.0,-5.0,50.0,144,-1.6666666666666667,-5.0,-1.6666666666666667,405,144
50.0,-5.0,50.0,145,-1.6666666666666667,-5.0,-1.6666666666666667,408,145
50.0,10.0,50.0,146,25.0,50.0,5.0,410,146
50.0,50.0,50.0,147,3.3333333333333335,10.0,16.666666666666668,413,147
50.0,10.0,50.0,148,16.666666666666668,50.0,3.3333333333333335,416,148
50.0,10.0,50.0,149,16.666666666666668,50.0,3.3333333333333335,419,149
50.0,10.0,50.0,150,25.0,50.0,5.0,421,150
50.0,10.0,50.0,151,16.666666666666668,50.0,3.3333333333333335,424,151
50.0,50.0,50.0,152,3.3333333333333335,10.0,16.666666666666668,427,152
50.0,-5.0,50.0,153,-1.6666666666666667,-5.0,-1.6666666666666667,430,153
50.0,50.0,50.0,154,3.3333333333333335,10.0,16.666666666666668,433,154
50.0,10.0,50.0,155,16.666666666666668,50.0,3.3333333333333335,436,155
50.0,10.0,50.0,156,16.666666666666668,50.0,3.3333333333333335,439,156
50.0,10.0,50.0,157,16.666666666666668,50.0,3.3333333333333335,442,157
50.0,10.0,50.0,158,16.666666666666668,50.0,3.3333333333333335,445,158
50.0,50.0,50.0,159,3.3333333333333335,10.0,16.666666666666668,448,159
50.0,50.0,50.0,160,3.3333333333333335,10.0,16.666666666666668,451,160
50.0,50.0,50.0,161,3.3333333333333335,10.0,16.666666666666668,454,161
50.0,-5.0,50.0,162,-1.6666666666666667,-5.0,-1.6666666666666667,457,162
50.0,10.0,50.0,163,16.666666666666668,50.0,3.3333333333333335,460,163
50.0,50.0,50.0,164,3.3333333333333335,10.0,16.666666666666668,463,164
50.0,-5.0,50.0,165,-1.6666666666666667,-5.0,-1.6666666666666667,466,165
50.0,50.0,50.0,166,3.3333333333333335,10.0,16.666666666666668,469,166
50.0,10.0,50.0,167,16.666666666666668,50.0,3.3333333333333335,472,167
50.0,-5.0,50.0,168,-1.6666666666666667,-5.0,-1.6666666666666667,475,168
50.0,-5.0,50.0,169,-1.6666666666666667,-5.0,-1.6666666666666667,478,169
50.0,-5.0,50.0,170,-2.5,-5.0,-2.5,480,170
50.0,10.0,50.0,171,16.666666666666668,50.0,3.3333333333333335,483,171
50.0,10.0,50.0,172,16.666666666666668,50.0,3.3333333333333335,486,172
50.0,50.0,50.0,173,3.3333333333333335,10.0,16.666666666666668,489,173
50.0,-5.0,50.0,174,-2.5,-5.0,-2.5,491,174
50.0,10.0,50.0,175,16.666666666666668,50.0,3.3333333333333335,494,175
50.0,10.0,50.0,176,16.666666666666668,50.0,3.3333333333333335,497,176
50.0,10.0,50.0,177,16.666666666666668,50.0,3.3333333333333335,500,177
