episodes,max-path-return_agent_1,mean-path-return_agent_0,mean-path-return_agent_1,last-path-return_agent_0,last-path-return_agent_1,episode_reward,max-path-return_agent_0,total-samples
40,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,40,50.0,107
41,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,41,50.0,110
42,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,42,50.0,113
43,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,43,50.0,116
44,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,44,50.0,119
45,50.0,-2.5,-2.5,-5.0,-5.0,45,50.0,121
46,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,46,50.0,124
47,50.0,25.0,5.0,50.0,10.0,47,50.0,126
48,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,48,50.0,129
49,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,49,50.0,132
50,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,50,50.0,135
51,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,51,50.0,138
52,50.0,25.0,5.0,50.0,10.0,52,50.0,140
53,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,53,50.0,143
54,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,54,50.0,146
55,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,55,50.0,149
56,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,56,50.0,152
57,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,57,50.0,155
58,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,58,50.0,158
59,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,59,50.0,161
60,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,60,50.0,164
61,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,61,50.0,167
62,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,62,50.0,170
63,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,63,50.0,173
64,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,64,50.0,176
65,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,65,50.0,179
66,50.0,-2.5,-2.5,-5.0,-5.0,66,50.0,181
67,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,67,50.0,184
68,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,68,50.0,187
69,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,69,50.0,190
70,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,70,50.0,193
71,50.0,25.0,5.0,50.0,10.0,71,50.0,195
72,50.0,-5.0,-5.0,-10.0,-10.0,72,50.0,197
73,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,73,50.0,200
74,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,74,50.0,203
75,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,75,50.0,206
76,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,76,50.0,209
77,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,77,50.0,212
78,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,78,50.0,215
79,50.0,16.666666666666668,3.3333333333333335,50.0,10.0,79,50.0,218
80,50.0,-1.6666666666666667,-1.6666666666666667,-5.0,-5.0,80,50.0,221
81,50.0,3.3333333333333335,16.666666666666668,10.0,50.0,81,50.0,224
82,50.0,-5.0,-5.0,-10.0,-10.0,82,50.0,226
