mean-episode_cost_agent_1,max-path-return_agent_0,last-path-return_agent_1,episodes,mean-episode_cost_agent_0,last-path-return_agent_0,max-path-return_agent_1,mean-path-return_agent_0,episode_reward,mean-path-return_agent_1,total-samples
0.0,50.0,10.0,93,0.0,50.0,50.0,16.666666666666668,93,3.3333333333333335,265
0.0,50.0,10.0,94,0.0,50.0,50.0,16.666666666666668,94,3.3333333333333335,268
0.0,50.0,50.0,95,0.0,10.0,50.0,3.3333333333333335,95,16.666666666666668,271
0.0,50.0,50.0,96,3.3333333333333335,10.0,50.0,3.3333333333333335,96,16.666666666666668,274
16.666666666666668,50.0,-5.0,97,16.666666666666668,-5.0,50.0,-1.6666666666666667,97,-1.6666666666666667,277
6.666666666666667,50.0,10.0,98,0.0,50.0,50.0,16.666666666666668,98,3.3333333333333335,280
25.0,50.0,-10.0,99,25.0,-10.0,50.0,-5.0,99,-5.0,282
0.0,50.0,10.0,100,0.0,50.0,50.0,16.666666666666668,100,3.3333333333333335,285
16.666666666666668,50.0,-5.0,101,16.666666666666668,-5.0,50.0,-1.6666666666666667,101,-1.6666666666666667,288
0.0,50.0,50.0,102,0.0,10.0,50.0,3.3333333333333335,102,16.666666666666668,291
0.0,50.0,50.0,103,0.0,10.0,50.0,3.3333333333333335,103,16.666666666666668,294
0.0,50.0,10.0,104,0.0,50.0,50.0,16.666666666666668,104,3.3333333333333335,297
0.0,50.0,50.0,105,0.0,10.0,50.0,3.3333333333333335,105,16.666666666666668,300
0.0,50.0,10.0,106,0.0,50.0,50.0,16.666666666666668,106,3.3333333333333335,303
25.0,50.0,-10.0,107,25.0,-10.0,50.0,-5.0,107,-5.0,305
3.3333333333333335,50.0,10.0,108,0.0,50.0,50.0,16.666666666666668,108,3.3333333333333335,308
0.0,50.0,50.0,109,0.0,10.0,50.0,3.3333333333333335,109,16.666666666666668,311
0.0,50.0,50.0,110,0.0,10.0,50.0,3.3333333333333335,110,16.666666666666668,314
25.0,50.0,-5.0,111,25.0,-5.0,50.0,-2.5,111,-2.5,316
0.0,50.0,10.0,112,0.0,50.0,50.0,16.666666666666668,112,3.3333333333333335,319
3.3333333333333335,50.0,10.0,113,0.0,50.0,50.0,16.666666666666668,113,3.3333333333333335,322
3.3333333333333335,50.0,10.0,114,0.0,50.0,50.0,16.666666666666668,114,3.3333333333333335,325
0.0,50.0,10.0,115,0.0,50.0,50.0,16.666666666666668,115,3.3333333333333335,328
25.0,50.0,-10.0,116,25.0,-10.0,50.0,-5.0,116,-5.0,330
0.0,50.0,50.0,117,0.0,10.0,50.0,3.3333333333333335,117,16.666666666666668,333
25.0,50.0,-5.0,118,25.0,-5.0,50.0,-2.5,118,-2.5,335
0.0,50.0,10.0,119,0.0,50.0,50.0,16.666666666666668,119,3.3333333333333335,338
0.0,50.0,50.0,120,0.0,10.0,50.0,3.3333333333333335,120,16.666666666666668,341
