episode_reward,max-path-return_agent_0,last-path-return_agent_0,total-samples,mean-path-return_agent_1,last-path-return_agent_1,mean-path-return_agent_0,episodes,max-path-return_agent_1
28,50.0,50.0,75,3.3333333333333335,10.0,16.666666666666668,28,50.0
29,50.0,-5.0,78,-1.6666666666666667,-5.0,-1.6666666666666667,29,50.0
30,50.0,50.0,81,3.3333333333333335,10.0,16.666666666666668,30,50.0
31,50.0,50.0,84,3.3333333333333335,10.0,16.666666666666668,31,50.0
32,50.0,50.0,86,5.0,10.0,25.0,32,50.0
33,50.0,-5.0,89,-1.6666666666666667,-5.0,-1.6666666666666667,33,50.0
34,50.0,10.0,92,16.666666666666668,50.0,3.3333333333333335,34,50.0
35,50.0,10.0,95,16.666666666666668,50.0,3.3333333333333335,35,50.0
36,50.0,10.0,98,16.666666666666668,50.0,3.3333333333333335,36,50.0
37,50.0,50.0,101,3.3333333333333335,10.0,16.666666666666668,37,50.0
38,50.0,50.0,104,3.3333333333333335,10.0,16.666666666666668,38,50.0
39,50.0,10.0,106,25.0,50.0,5.0,39,50.0
40,50.0,50.0,109,3.3333333333333335,10.0,16.666666666666668,40,50.0
41,50.0,-10.0,111,-5.0,-10.0,-5.0,41,50.0
42,50.0,50.0,114,3.3333333333333335,10.0,16.666666666666668,42,50.0
43,50.0,-5.0,116,-2.5,-5.0,-2.5,43,50.0
44,50.0,10.0,119,16.666666666666668,50.0,3.3333333333333335,44,50.0
45,50.0,-10.0,121,-5.0,-10.0,-5.0,45,50.0
46,50.0,50.0,124,3.3333333333333335,10.0,16.666666666666668,46,50.0
47,50.0,10.0,127,16.666666666666668,50.0,3.3333333333333335,47,50.0
48,50.0,10.0,130,16.666666666666668,50.0,3.3333333333333335,48,50.0
49,50.0,50.0,133,3.3333333333333335,10.0,16.666666666666668,49,50.0
50,50.0,10.0,136,16.666666666666668,50.0,3.3333333333333335,50,50.0
51,50.0,50.0,139,3.3333333333333335,10.0,16.666666666666668,51,50.0
52,50.0,-5.0,142,-1.6666666666666667,-5.0,-1.6666666666666667,52,50.0
53,50.0,50.0,145,3.3333333333333335,10.0,16.666666666666668,53,50.0
54,50.0,10.0,148,16.666666666666668,50.0,3.3333333333333335,54,50.0
55,50.0,-5.0,151,-1.6666666666666667,-5.0,-1.6666666666666667,55,50.0
56,50.0,50.0,154,3.3333333333333335,10.0,16.666666666666668,56,50.0
57,50.0,50.0,157,3.3333333333333335,10.0,16.666666666666668,57,50.0
58,50.0,10.0,160,16.666666666666668,50.0,3.3333333333333335,58,50.0
59,50.0,10.0,163,16.666666666666668,50.0,3.3333333333333335,59,50.0
60,50.0,-5.0,166,-1.6666666666666667,-5.0,-1.6666666666666667,60,50.0
61,50.0,10.0,169,16.666666666666668,50.0,3.3333333333333335,61,50.0
62,50.0,10.0,171,25.0,50.0,5.0,62,50.0
63,50.0,50.0,174,3.3333333333333335,10.0,16.666666666666668,63,50.0
64,50.0,50.0,177,3.3333333333333335,10.0,16.666666666666668,64,50.0
65,50.0,10.0,180,16.666666666666668,50.0,3.3333333333333335,65,50.0
66,50.0,10.0,182,25.0,50.0,5.0,66,50.0
67,50.0,50.0,185,3.3333333333333335,10.0,16.666666666666668,67,50.0
68,50.0,10.0,188,16.666666666666668,50.0,3.3333333333333335,68,50.0
69,50.0,50.0,191,3.3333333333333335,10.0,16.666666666666668,69,50.0
70,50.0,10.0,193,25.0,50.0,5.0,70,50.0
71,50.0,50.0,196,3.3333333333333335,10.0,16.666666666666668,71,50.0
72,50.0,-5.0,199,-1.6666666666666667,-5.0,-1.6666666666666667,72,50.0
73,50.0,50.0,202,3.3333333333333335,10.0,16.666666666666668,73,50.0
74,50.0,-5.0,205,-1.6666666666666667,-5.0,-1.6666666666666667,74,50.0
75,50.0,10.0,208,16.666666666666668,50.0,3.3333333333333335,75,50.0
76,50.0,50.0,211,3.3333333333333335,10.0,16.666666666666668,76,50.0
77,50.0,10.0,214,16.666666666666668,50.0,3.3333333333333335,77,50.0
78,50.0,-10.0,216,-5.0,-10.0,-5.0,78,50.0
79,50.0,-5.0,219,-1.6666666666666667,-5.0,-1.6666666666666667,79,50.0
80,50.0,50.0,222,3.3333333333333335,10.0,16.666666666666668,80,50.0
81,50.0,50.0,225,3.3333333333333335,10.0,16.666666666666668,81,50.0
