mean-episode_cost_agent_0,last-path-return_agent_1,max-path-return_agent_0,last-path-return_agent_0,total-samples,mean-episode_cost_agent_1,mean-path-return_agent_1,episode_reward,max-path-return_agent_1,episodes,mean-path-return_agent_0
0.0,10.0,50.0,50.0,300,0.0,3.3333333333333335,106,50.0,106,16.666666666666668
3.3333333333333335,50.0,50.0,10.0,303,0.0,16.666666666666668,107,50.0,107,3.3333333333333335
0.0,10.0,50.0,50.0,306,6.666666666666667,3.3333333333333335,108,50.0,108,16.666666666666668
0.0,10.0,50.0,50.0,309,0.0,3.3333333333333335,109,50.0,109,16.666666666666668
0.0,10.0,50.0,50.0,312,0.0,3.3333333333333335,110,50.0,110,16.666666666666668
0.0,50.0,50.0,10.0,315,0.0,16.666666666666668,111,50.0,111,3.3333333333333335
0.0,50.0,50.0,10.0,318,0.0,16.666666666666668,112,50.0,112,3.3333333333333335
0.0,50.0,50.0,10.0,321,0.0,16.666666666666668,113,50.0,113,3.3333333333333335
0.0,10.0,50.0,50.0,324,6.666666666666667,3.3333333333333335,114,50.0,114,16.666666666666668
3.3333333333333335,50.0,50.0,10.0,327,0.0,16.666666666666668,115,50.0,115,3.3333333333333335
0.0,10.0,50.0,50.0,330,0.0,3.3333333333333335,116,50.0,116,16.666666666666668
0.0,10.0,50.0,50.0,333,0.0,3.3333333333333335,117,50.0,117,16.666666666666668
0.0,10.0,50.0,50.0,336,0.0,3.3333333333333335,118,50.0,118,16.666666666666668
0.0,10.0,50.0,50.0,339,0.0,3.3333333333333335,119,50.0,119,16.666666666666668
0.0,50.0,50.0,10.0,342,0.0,16.666666666666668,120,50.0,120,3.3333333333333335
0.0,50.0,50.0,10.0,345,0.0,16.666666666666668,121,50.0,121,3.3333333333333335
0.0,10.0,50.0,50.0,348,6.666666666666667,3.3333333333333335,122,50.0,122,16.666666666666668
16.666666666666668,-5.0,50.0,-5.0,351,16.666666666666668,-1.6666666666666667,123,50.0,123,-1.6666666666666667
0.0,10.0,50.0,50.0,354,0.0,3.3333333333333335,124,50.0,124,16.666666666666668
0.0,10.0,50.0,50.0,357,0.0,3.3333333333333335,125,50.0,125,16.666666666666668
0.0,50.0,50.0,10.0,360,0.0,16.666666666666668,126,50.0,126,3.3333333333333335
0.0,10.0,50.0,50.0,363,0.0,3.3333333333333335,127,50.0,127,16.666666666666668
0.0,10.0,50.0,50.0,366,6.666666666666667,3.3333333333333335,128,50.0,128,16.666666666666668
0.0,10.0,50.0,50.0,369,0.0,3.3333333333333335,129,50.0,129,16.666666666666668
16.666666666666668,-5.0,50.0,-5.0,372,16.666666666666668,-1.6666666666666667,130,50.0,130,-1.6666666666666667
0.0,50.0,50.0,10.0,375,0.0,16.666666666666668,131,50.0,131,3.3333333333333335
0.0,10.0,50.0,50.0,378,0.0,3.3333333333333335,132,50.0,132,16.666666666666668
25.0,-10.0,50.0,-10.0,380,25.0,-5.0,133,50.0,133,-5.0
0.0,50.0,50.0,10.0,383,0.0,16.666666666666668,134,50.0,134,3.3333333333333335
0.0,10.0,50.0,50.0,386,0.0,3.3333333333333335,135,50.0,135,16.666666666666668
0.0,50.0,50.0,10.0,389,0.0,16.666666666666668,136,50.0,136,3.3333333333333335
0.0,50.0,50.0,10.0,392,0.0,16.666666666666668,137,50.0,137,3.3333333333333335
0.0,50.0,50.0,10.0,395,0.0,16.666666666666668,138,50.0,138,3.3333333333333335
0.0,10.0,50.0,50.0,398,3.3333333333333335,3.3333333333333335,139,50.0,139,16.666666666666668
16.666666666666668,-5.0,50.0,-5.0,401,16.666666666666668,-1.6666666666666667,140,50.0,140,-1.6666666666666667
0.0,50.0,50.0,10.0,404,0.0,16.666666666666668,141,50.0,141,3.3333333333333335
0.0,50.0,50.0,10.0,407,0.0,16.666666666666668,142,50.0,142,3.3333333333333335
0.0,50.0,50.0,10.0,410,0.0,16.666666666666668,143,50.0,143,3.3333333333333335
0.0,10.0,50.0,50.0,413,3.3333333333333335,3.3333333333333335,144,50.0,144,16.666666666666668
0.0,50.0,50.0,10.0,416,0.0,16.666666666666668,145,50.0,145,3.3333333333333335
6.666666666666667,50.0,50.0,10.0,419,0.0,16.666666666666668,146,50.0,146,3.3333333333333335
0.0,10.0,50.0,50.0,422,0.0,3.3333333333333335,147,50.0,147,16.666666666666668
6.666666666666667,50.0,50.0,10.0,425,0.0,16.666666666666668,148,50.0,148,3.3333333333333335
0.0,10.0,50.0,50.0,428,0.0,3.3333333333333335,149,50.0,149,16.666666666666668
0.0,50.0,50.0,10.0,431,0.0,16.666666666666668,150,50.0,150,3.3333333333333335
0.0,50.0,50.0,10.0,434,0.0,16.666666666666668,151,50.0,151,3.3333333333333335
0.0,50.0,50.0,10.0,437,0.0,16.666666666666668,152,50.0,152,3.3333333333333335
16.666666666666668,-5.0,50.0,-5.0,440,16.666666666666668,-1.6666666666666667,153,50.0,153,-1.6666666666666667
25.0,-5.0,50.0,-5.0,442,25.0,-2.5,154,50.0,154,-2.5
0.0,50.0,50.0,10.0,445,0.0,16.666666666666668,155,50.0,155,3.3333333333333335
16.666666666666668,-5.0,50.0,-5.0,448,16.666666666666668,-1.6666666666666667,156,50.0,156,-1.6666666666666667
0.0,10.0,50.0,50.0,451,3.3333333333333335,3.3333333333333335,157,50.0,157,16.666666666666668
0.0,10.0,50.0,50.0,454,0.0,3.3333333333333335,158,50.0,158,16.666666666666668
0.0,50.0,50.0,10.0,457,0.0,16.666666666666668,159,50.0,159,3.3333333333333335
0.0,50.0,50.0,10.0,459,0.0,25.0,160,50.0,160,5.0
16.666666666666668,-5.0,50.0,-5.0,462,16.666666666666668,-1.6666666666666667,161,50.0,161,-1.6666666666666667
25.0,-5.0,50.0,-5.0,464,25.0,-2.5,162,50.0,162,-2.5
16.666666666666668,-5.0,50.0,-5.0,467,16.666666666666668,-1.6666666666666667,163,50.0,163,-1.6666666666666667
0.0,10.0,50.0,50.0,470,0.0,3.3333333333333335,164,50.0,164,16.666666666666668
16.666666666666668,-5.0,50.0,-5.0,473,16.666666666666668,-1.6666666666666667,165,50.0,165,-1.6666666666666667
0.0,10.0,50.0,50.0,476,3.3333333333333335,3.3333333333333335,166,50.0,166,16.666666666666668
0.0,10.0,50.0,50.0,479,0.0,3.3333333333333335,167,50.0,167,16.666666666666668
0.0,10.0,50.0,50.0,482,0.0,3.3333333333333335,168,50.0,168,16.666666666666668
0.0,10.0,50.0,50.0,485,0.0,3.3333333333333335,169,50.0,169,16.666666666666668
0.0,50.0,50.0,10.0,488,0.0,16.666666666666668,170,50.0,170,3.3333333333333335
0.0,10.0,50.0,50.0,491,0.0,3.3333333333333335,171,50.0,171,16.666666666666668
0.0,10.0,50.0,50.0,493,0.0,5.0,172,50.0,172,25.0
0.0,10.0,50.0,50.0,496,0.0,3.3333333333333335,173,50.0,173,16.666666666666668
0.0,50.0,50.0,10.0,499,0.0,16.666666666666668,174,50.0,174,3.3333333333333335
0.0,10.0,50.0,50.0,502,0.0,3.3333333333333335,175,50.0,175,16.666666666666668
3.3333333333333335,50.0,50.0,10.0,505,0.0,16.666666666666668,176,50.0,176,3.3333333333333335
7.5,50.0,50.0,10.0,509,0.0,12.5,177,50.0,177,2.5
6.666666666666667,50.0,50.0,10.0,512,0.0,16.666666666666668,178,50.0,178,3.3333333333333335
6.666666666666667,50.0,50.0,10.0,515,0.0,16.666666666666668,179,50.0,179,3.3333333333333335
6.666666666666667,50.0,50.0,10.0,518,0.0,16.666666666666668,180,50.0,180,3.3333333333333335
3.3333333333333335,50.0,50.0,10.0,521,0.0,16.666666666666668,181,50.0,181,3.3333333333333335
0.0,50.0,50.0,10.0,524,0.0,16.666666666666668,182,50.0,182,3.3333333333333335
3.3333333333333335,50.0,50.0,10.0,527,0.0,16.666666666666668,183,50.0,183,3.3333333333333335
6.666666666666667,50.0,50.0,10.0,530,0.0,16.666666666666668,184,50.0,184,3.3333333333333335
0.0,50.0,50.0,10.0,533,0.0,16.666666666666668,185,50.0,185,3.3333333333333335
25.0,-5.0,50.0,-5.0,535,25.0,-2.5,186,50.0,186,-2.5
6.666666666666667,50.0,50.0,10.0,538,0.0,16.666666666666668,187,50.0,187,3.3333333333333335
