episodes,total-samples,last-path-return_agent_0,mean-path-return_agent_1,mean-path-return_agent_0,episode_reward,max-path-return_agent_0,max-path-return_agent_1,last-path-return_agent_1
67,191,50.0,3.3333333333333335,16.666666666666668,67,50.0,50.0,10.0
68,194,10.0,16.666666666666668,3.3333333333333335,68,50.0,50.0,50.0
69,197,50.0,3.3333333333333335,16.666666666666668,69,50.0,50.0,10.0
70,200,10.0,16.666666666666668,3.3333333333333335,70,50.0,50.0,50.0
71,202,50.0,5.0,25.0,71,50.0,50.0,10.0
72,205,50.0,3.3333333333333335,16.666666666666668,72,50.0,50.0,10.0
73,208,50.0,3.3333333333333335,16.666666666666668,73,50.0,50.0,10.0
74,210,-5.0,-2.5,-2.5,74,50.0,50.0,-5.0
75,213,10.0,16.666666666666668,3.3333333333333335,75,50.0,50.0,50.0
76,216,50.0,3.3333333333333335,16.666666666666668,76,50.0,50.0,10.0
77,219,10.0,16.666666666666668,3.3333333333333335,77,50.0,50.0,50.0
78,222,10.0,16.666666666666668,3.3333333333333335,78,50.0,50.0,50.0
79,225,50.0,3.3333333333333335,16.666666666666668,79,50.0,50.0,10.0
80,228,50.0,3.3333333333333335,16.666666666666668,80,50.0,50.0,10.0
