mean-episode_cost_agent_0,total-samples,mean-episode_cost_agent_1,max-path-return_agent_0,episodes,max-path-return_agent_1,last-path-return_agent_1,episode_reward,last-path-return_agent_0,mean-path-return_agent_0,mean-path-return_agent_1
0.0,144,0.0,50.0,50,50.0,10.0,50,50.0,16.666666666666668,3.3333333333333335
0.0,147,0.0,50.0,51,50.0,10.0,51,50.0,16.666666666666668,3.3333333333333335
0.0,150,3.3333333333333335,50.0,52,50.0,10.0,52,50.0,16.666666666666668,3.3333333333333335
16.666666666666668,153,16.666666666666668,50.0,53,50.0,-5.0,53,-5.0,-1.6666666666666667,-1.6666666666666667
0.0,156,0.0,50.0,54,50.0,50.0,54,10.0,3.3333333333333335,16.666666666666668
0.0,158,0.0,50.0,55,50.0,50.0,55,10.0,5.0,25.0
0.0,161,0.0,50.0,56,50.0,10.0,56,50.0,16.666666666666668,3.3333333333333335
0.0,164,0.0,50.0,57,50.0,10.0,57,50.0,16.666666666666668,3.3333333333333335
0.0,167,0.0,50.0,58,50.0,50.0,58,10.0,3.3333333333333335,16.666666666666668
6.666666666666667,170,0.0,50.0,59,50.0,50.0,59,10.0,3.3333333333333335,16.666666666666668
0.0,172,0.0,50.0,60,50.0,10.0,60,50.0,25.0,5.0
16.666666666666668,175,16.666666666666668,50.0,61,50.0,-5.0,61,-5.0,-1.6666666666666667,-1.6666666666666667
0.0,178,0.0,50.0,62,50.0,50.0,62,10.0,3.3333333333333335,16.666666666666668
6.666666666666667,181,3.3333333333333335,50.0,63,50.0,50.0,63,10.0,3.3333333333333335,16.666666666666668
