mean-episode_cost_agent_1,episodes,mean-path-return_agent_0,mean-episode_cost_agent_0,last-path-return_agent_0,last-path-return_agent_1,max-path-return_agent_1,max-path-return_agent_0,total-samples,episode_reward,mean-path-return_agent_1
0.0,24,16.666666666666668,0.0,50.0,10.0,50.0,50.0,68,24,3.3333333333333335
25.0,25,-5.0,25.0,-10.0,-10.0,50.0,50.0,70,25,-5.0
0.0,26,16.666666666666668,0.0,50.0,10.0,50.0,50.0,73,26,3.3333333333333335
0.0,27,16.666666666666668,0.0,50.0,10.0,50.0,50.0,76,27,3.3333333333333335
0.0,28,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,79,28,16.666666666666668
0.0,29,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,82,29,16.666666666666668
0.0,30,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,85,30,16.666666666666668
16.666666666666668,31,-1.6666666666666667,16.666666666666668,-5.0,-5.0,50.0,50.0,88,31,-1.6666666666666667
0.0,32,16.666666666666668,0.0,50.0,10.0,50.0,50.0,91,32,3.3333333333333335
25.0,33,-2.5,25.0,-5.0,-5.0,50.0,50.0,93,33,-2.5
0.0,34,5.0,0.0,10.0,50.0,50.0,50.0,95,34,25.0
25.0,35,-2.5,25.0,-5.0,-5.0,50.0,50.0,97,35,-2.5
16.666666666666668,36,-1.6666666666666667,16.666666666666668,-5.0,-5.0,50.0,50.0,100,36,-1.6666666666666667
0.0,37,3.3333333333333335,3.3333333333333335,10.0,50.0,50.0,50.0,103,37,16.666666666666668
0.0,38,25.0,0.0,50.0,10.0,50.0,50.0,105,38,5.0
3.3333333333333335,39,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,108,39,16.666666666666668
0.0,40,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,111,40,16.666666666666668
0.0,41,5.0,0.0,10.0,50.0,50.0,50.0,113,41,25.0
0.0,42,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,116,42,16.666666666666668
0.0,43,16.666666666666668,0.0,50.0,10.0,50.0,50.0,119,43,3.3333333333333335
0.0,44,16.666666666666668,0.0,50.0,10.0,50.0,50.0,122,44,3.3333333333333335
0.0,45,5.0,0.0,10.0,50.0,50.0,50.0,124,45,25.0
0.0,46,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,127,46,16.666666666666668
25.0,47,-5.0,25.0,-10.0,-10.0,50.0,50.0,129,47,-5.0
3.3333333333333335,48,16.666666666666668,0.0,50.0,10.0,50.0,50.0,132,48,3.3333333333333335
3.3333333333333335,49,16.666666666666668,0.0,50.0,10.0,50.0,50.0,135,49,3.3333333333333335
0.0,50,25.0,0.0,50.0,10.0,50.0,50.0,137,50,5.0
0.0,51,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,140,51,16.666666666666668
6.666666666666667,52,16.666666666666668,0.0,50.0,10.0,50.0,50.0,143,52,3.3333333333333335
6.666666666666667,53,16.666666666666668,0.0,50.0,10.0,50.0,50.0,146,53,3.3333333333333335
0.0,54,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,149,54,16.666666666666668
25.0,55,-2.5,25.0,-5.0,-5.0,50.0,50.0,151,55,-2.5
0.0,56,16.666666666666668,0.0,50.0,10.0,50.0,50.0,154,56,3.3333333333333335
0.0,57,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,157,57,16.666666666666668
25.0,58,-5.0,25.0,-10.0,-10.0,50.0,50.0,159,58,-5.0
3.3333333333333335,59,16.666666666666668,0.0,50.0,10.0,50.0,50.0,162,59,3.3333333333333335
0.0,60,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,165,60,16.666666666666668
0.0,61,16.666666666666668,0.0,50.0,10.0,50.0,50.0,168,61,3.3333333333333335
0.0,62,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,171,62,16.666666666666668
0.0,63,3.3333333333333335,0.0,10.0,50.0,50.0,50.0,174,63,16.666666666666668
0.0,64,25.0,0.0,50.0,10.0,50.0,50.0,176,64,5.0
