last-path-return_agent_1,episode_reward,mean-path-return_agent_0,mean-episode_cost_agent_0,last-path-return_agent_0,max-path-return_agent_1,episodes,total-samples,max-path-return_agent_0,mean-episode_cost_agent_1,mean-path-return_agent_1
-5.0,53,-1.6666666666666667,16.666666666666668,-5.0,50.0,53,152,50.0,16.666666666666668,-1.6666666666666667
50.0,54,3.3333333333333335,0.0,10.0,50.0,54,155,50.0,0.0,16.666666666666668
-5.0,55,-2.5,25.0,-5.0,50.0,55,157,50.0,25.0,-2.5
10.0,56,16.666666666666668,0.0,50.0,50.0,56,160,50.0,0.0,3.3333333333333335
50.0,57,3.3333333333333335,0.0,10.0,50.0,57,163,50.0,0.0,16.666666666666668
-5.0,58,-1.6666666666666667,20.0,-5.0,50.0,58,166,50.0,20.0,-1.6666666666666667
10.0,59,16.666666666666668,0.0,50.0,50.0,59,169,50.0,0.0,3.3333333333333335
50.0,60,3.3333333333333335,3.3333333333333335,10.0,50.0,60,172,50.0,0.0,16.666666666666668
10.0,61,16.666666666666668,0.0,50.0,50.0,61,175,50.0,0.0,3.3333333333333335
-5.0,62,-1.6666666666666667,16.666666666666668,-5.0,50.0,62,178,50.0,16.666666666666668,-1.6666666666666667
