mean-path-return_agent_1,mean-path-return_agent_0,last-path-return_agent_0,max-path-return_agent_0,max-path-return_agent_1,episode_reward,last-path-return_agent_1,mean-episode_cost_agent_1,mean-episode_cost_agent_0,total-samples,episodes
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,80,50.0,0.0,0.0,229,80
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,81,10.0,0.0,0.0,232,81
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,82,-5.0,16.666666666666668,16.666666666666668,235,82
25.0,5.0,10.0,50.0,50.0,83,50.0,0.0,0.0,237,83
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,84,10.0,0.0,0.0,240,84
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,85,-5.0,16.666666666666668,16.666666666666668,243,85
25.0,5.0,10.0,50.0,50.0,86,50.0,0.0,0.0,245,86
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,87,10.0,0.0,0.0,248,87
25.0,5.0,10.0,50.0,50.0,88,50.0,0.0,0.0,250,88
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,89,-5.0,16.666666666666668,16.666666666666668,253,89
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,90,10.0,0.0,0.0,256,90
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,91,10.0,0.0,0.0,259,91
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,92,50.0,0.0,6.666666666666667,262,92
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,93,-5.0,23.333333333333332,23.333333333333332,265,93
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,94,50.0,0.0,0.0,268,94
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,95,10.0,0.0,0.0,271,95
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,96,10.0,6.666666666666667,0.0,274,96
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,97,-5.0,16.666666666666668,16.666666666666668,277,97
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,98,50.0,0.0,0.0,280,98
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,99,10.0,6.666666666666667,0.0,283,99
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,100,-5.0,16.666666666666668,16.666666666666668,286,100
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,101,-5.0,16.666666666666668,16.666666666666668,289,101
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,102,50.0,0.0,0.0,292,102
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,103,-5.0,16.666666666666668,16.666666666666668,295,103
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,104,10.0,0.0,0.0,298,104
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,105,50.0,0.0,0.0,301,105
-2.5,-2.5,-5.0,50.0,50.0,106,-5.0,25.0,25.0,303,106
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,107,50.0,0.0,0.0,306,107
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,108,10.0,0.0,0.0,309,108
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,109,50.0,0.0,0.0,312,109
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,110,10.0,0.0,0.0,315,110
-5.0,-5.0,-10.0,50.0,50.0,111,-10.0,25.0,25.0,317,111
-2.5,-2.5,-5.0,50.0,50.0,112,-5.0,25.0,25.0,319,112
5.0,25.0,50.0,50.0,50.0,113,10.0,0.0,0.0,321,113
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,114,-5.0,16.666666666666668,16.666666666666668,324,114
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,115,50.0,0.0,6.666666666666667,327,115
-2.5,-2.5,-5.0,50.0,50.0,116,-5.0,25.0,25.0,329,116
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,117,50.0,0.0,0.0,332,117
25.0,5.0,10.0,50.0,50.0,118,50.0,0.0,0.0,334,118
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,119,50.0,0.0,6.666666666666667,337,119
16.666666666666668,3.3333333333333335,10.0,50.0,50.0,120,50.0,0.0,0.0,340,120
-2.5,-2.5,-5.0,50.0,50.0,121,-5.0,25.0,25.0,342,121
-2.5,-2.5,-5.0,50.0,50.0,122,-5.0,25.0,25.0,344,122
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,123,-5.0,16.666666666666668,16.666666666666668,347,123
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,124,-5.0,16.666666666666668,16.666666666666668,350,124
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,125,10.0,0.0,0.0,353,125
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,126,10.0,3.3333333333333335,0.0,356,126
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,127,10.0,3.3333333333333335,0.0,359,127
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,128,10.0,0.0,0.0,362,128
-5.0,-5.0,-10.0,50.0,50.0,129,-10.0,25.0,25.0,364,129
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,130,10.0,0.0,0.0,367,130
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,131,10.0,0.0,0.0,370,131
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,132,10.0,0.0,0.0,373,132
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,133,-5.0,16.666666666666668,16.666666666666668,376,133
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,134,10.0,0.0,0.0,379,134
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,135,10.0,0.0,0.0,382,135
-1.6666666666666667,-1.6666666666666667,-5.0,50.0,50.0,136,-5.0,16.666666666666668,16.666666666666668,385,136
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,137,10.0,0.0,0.0,388,137
3.3333333333333335,16.666666666666668,50.0,50.0,50.0,138,10.0,0.0,0.0,391,138
